Location,Year of transaction,Total price (million),price,Total area,Percentage of main building,Type
大學路５３巷６弄１６號,2023/3/3,220,26.4,8.35,75.8,公寓(5樓含以下無電梯)
珠浦南路５０巷１１號二樓,2023/3/2,605,28.2,21.42,72.94,華廈(10層含以下有電梯)
後豐港３９之６號四樓,2023/1/10,630,25.2,24.95,78.6,華廈(10層含以下有電梯)
珠浦南路５０巷１１號三樓,2022/12/27,580,27.1,21.42,72.94,華廈(10層含以下有電梯)
珠浦南路５０巷１２號三樓,2022/12/27,580,27.1,21.42,72.94,華廈(10層含以下有電梯)
後豐港３９之６號三樓,2022/12/26,630,25.2,24.95,78.6,華廈(10層含以下有電梯)
後豐港３９之５號三樓,2022/12/21,650,26.3,24.72,78.4,華廈(10層含以下有電梯)
西海路三段３９巷２弄５號二樓,2022/12/14,655,20.4,32.16,73.7,華廈(10層含以下有電梯)
金門城２３０號三樓,2022/12/12,485,20.6,23.5,73.75,華廈(10層含以下有電梯)
後豐港３９之６號五樓,2022/12/12,775,26,37.1,75,華廈(10層含以下有電梯)
民權路２２６巷２弄１２號五樓之１,2022/12/9,1060,26.5,47.17,67.49,住宅大樓(11層含以上有電梯)
後豐港３９之２號三樓,2022/12/8,600,24.1,24.9,78.76,華廈(10層含以下有電梯)
後豐港３９之３號三樓,2022/12/8,600,24.3,24.67,78.56,華廈(10層含以下有電梯)
後豐港３９之２號四樓,2022/12/8,600,24.1,24.9,78.76,華廈(10層含以下有電梯)
金門城１０６之１０號二樓,2022/11/30,500,19.8,25.2,73.11,華廈(10層含以下有電梯)
珠浦南路７４巷３７號四樓,2022/11/22,930,28.7,32.42,77.81,華廈(10層含以下有電梯)
金門城２３０號,2022/11/18,540,23,23.5,73.75,公寓(5樓含以下無電梯)
珠浦南路５０巷１１號,2022/11/11,620,30.7,20.21,77.32,華廈(10層含以下有電梯)
民權路７０巷１１弄２２號３樓,2022/11/9,800,24.7,32.37,72.17,華廈(10層含以下有電梯)
庵前４３之１號二樓,2022/11/8,778,22.7,34.24,84.72,華廈(10層含以下有電梯)
珠浦南路５０巷１２號,2022/11/4,620,30.7,20.21,77.32,華廈(10層含以下有電梯)
珠浦南路５０巷１２號二樓,2022/11/4,580,27.1,21.42,72.94,華廈(10層含以下有電梯)
金門城２２８號二樓,2022/11/1,480,20.4,23.5,73.75,華廈(10層含以下有電梯)
西海路三段３９巷２弄３號二樓,2022/11/1,660,20.5,32.21,73.74,華廈(10層含以下有電梯)
民權路１２２巷１弄６之１號四樓之１,2022/10/26,350,32.2,10.85,75.08,公寓(5樓含以下無電梯)
小古崗１９之９號三樓,2022/10/26,560,20.3,27.62,86.83,公寓(5樓含以下無電梯)
金門城１１３之３號,2022/10/20,375,15.2,24.7,88.5,公寓(5樓含以下無電梯)
山前１１之１號２樓,2022/10/11,700,22.4,31.28,88.66,公寓(5樓含以下無電梯)
金門城２２８號三樓,2022/10/6,490,20.8,23.5,73.75,華廈(10層含以下有電梯)
山前１１之２號２樓,2022/10/5,613,19.6,31.28,88.66,公寓(5樓含以下無電梯)
民權路１２２巷１弄６號二樓,2022/10/3,630,28.3,22.23,78.87,公寓(5樓含以下無電梯)
中興路１６１巷７號２樓,2022/10/1,740,20.9,35.46,87.54,公寓(5樓含以下無電梯)
西海路三段３９巷２弄５號五樓,2022/9/27,680,21.1,32.16,73.7,華廈(10層含以下有電梯)
金門城１０３之５號二樓,2022/9/23,590,18.9,31.22,73.48,華廈(10層含以下有電梯)
金門城８９之２號三樓,2022/9/14,460,20.6,22.38,85.22,公寓(5樓含以下無電梯)
金門城３０之１號二樓,2022/9/6,600,19.8,30.35,82.74,公寓(5樓含以下無電梯)
山前１１之２號１樓,2022/9/1,648,21.4,30.29,91.56,公寓(5樓含以下無電梯)
金門城１０３之３號二樓,2022/8/26,590,18.9,31.22,73.48,華廈(10層含以下有電梯)
西海路三段３９巷２弄２號四樓,2022/8/24,660,20.5,32.16,73.7,華廈(10層含以下有電梯)
山前１１之１號３樓,2022/8/18,750,24,31.28,88.66,公寓(5樓含以下無電梯)
金山路１２１巷１６弄２２號二樓,2022/8/17,870,21.6,40.19,80.55,公寓(5樓含以下無電梯)
珠浦西路２８巷２弄５號三樓,2022/7/29,900,24.3,37,80.75,華廈(10層含以下有電梯)
金門城１０６之１０號三樓,2022/7/8,520,20.6,25.2,73.11,公寓(5樓含以下無電梯)
環島北路一段３８巷１弄５號３樓,2022/7/7,690,19.8,34.88,80.16,公寓(5樓含以下無電梯)
金門城２２７號,2022/7/5,535,22.8,23.5,73.75,華廈(10層含以下有電梯)
金門城１０３之３號,2022/7/2,600,21.1,28.47,80.6,公寓(5樓含以下無電梯)
金門城１０３之３號三樓,2022/6/26,600,19.2,31.22,73.48,華廈(10層含以下有電梯)
山前１１之２號３樓,2022/6/23,635,20.3,31.28,88.66,公寓(5樓含以下無電梯)
金門城１０６之１０號四樓,2022/6/10,580,23,25.2,73.11,華廈(10層含以下有電梯)
金門城１０６之７號三樓,2022/6/8,590,19.6,30.07,81.17,公寓(5樓含以下無電梯)
中興路２０５巷６號六樓,2022/6/3,940,26.1,36.01,72.58,華廈(10層含以下有電梯)
山前２之２號５樓,2022/5/12,670,23.3,28.74,77.59,華廈(10層含以下有電梯)
西海路三段３９巷２弄２號五樓,2022/5/12,660,20.5,32.16,73.7,華廈(10層含以下有電梯)
西海路三段１０６巷１７弄５號三樓,2022/5/5,598,15.9,37.66,59.13,公寓(5樓含以下無電梯)
民權路２２６巷２弄１２號三樓之３,2022/4/29,1280,30.4,48.21,68.44,住宅大樓(11層含以上有電梯)
民權路１２２巷１弄６號四樓之１,2022/4/29,340,31.3,10.85,75.08,公寓(5樓含以下無電梯)
金門城８８之３號,2022/4/29,555,19.8,28.05,81.7,公寓(5樓含以下無電梯)
金門城２３０號,2022/4/27,540,23,23.5,73.75,華廈(10層含以下有電梯)
金門城２２７號五樓,2022/4/20,520,22.1,23.5,73.75,華廈(10層含以下有電梯)
大古崗１２６號,2022/4/19,540,18.6,29,71.7,公寓(5樓含以下無電梯)
西海路三段３９巷２弄３號三樓,2022/4/14,660,20.5,32.21,73.74,華廈(10層含以下有電梯)
山前２之１號５樓,2022/4/13,670,23.3,28.74,77.59,華廈(10層含以下有電梯)
