地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
大學路５３巷６弄１６號,,112/03/03,220,26.4,8.35,75.80%,公寓(5樓含以下無電梯),13,一層/三層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,無,無,住家用,
珠浦南路５０巷１１號二樓,,112/03/02,605,28.2,21.42,72.94%,華廈(10層含以下有電梯),1,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,
民族路２４６巷５號四樓,,112/01/30,420,32.1,13.07,74.59%,公寓(5樓含以下無電梯),7,四層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,辦公用,
後豐港３９之６號四樓,,112/01/10,630,25.2,24.95,78.60%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,
民權路３０巷１弄１０號,,111/12/31,1200,0,60.23,,透天厝,21,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,
珠浦南路５０巷１１號三樓,,111/12/27,580,27.1,21.42,72.94%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,
珠浦南路５０巷１２號三樓,,111/12/27,580,27.1,21.42,72.94%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,
後豐港３９之６號三樓,,111/12/26,630,25.2,24.95,78.60%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
後豐港３９之５號三樓,,111/12/21,650,26.3,24.72,78.40%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
西海路三段３９巷２弄５號二樓,,111/12/14,655,20.4,32.16,73.70%,華廈(10層含以下有電梯),2,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,土地262萬元、建物393萬元， 契稅12630元由賣方支付。
金門城２３０號三樓,,111/12/12,485,20.6,23.5,73.75%,華廈(10層含以下有電梯),1,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,
後豐港３９之６號五樓,,111/12/12,775,26,37.1,75.00%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,95,無,有,住家用,預售屋、或土地及建物分件登記案件;
前水頭８５號,,111/12/09,280,0,17.59,,透天厝,111,全/一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
民權路２２６巷２弄１２號五樓之１,熙鼎御苑,111/12/09,1060,26.5,47.17,67.49%,住宅大樓(11層含以上有電梯),6,五層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100,有,有,住家用,本買賣標的包含：金城鎮祥豐段39、40地號土地，權利範圍各為：168/10000;建號：165 權利範圍：1/1;停車位編號：22 。
