地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途
大學路５３巷６弄１６號,112/03/03,220.0,26.4,8.35,75.80%,公寓(5樓含以下無電梯),13.0,一層/三層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,無,無,住家用
珠浦南路５０巷１１號二樓,112/03/02,605.0,28.2,21.42,72.94%,華廈(10層含以下有電梯),1.0,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
後豐港３９之６號四樓,112/01/10,630.0,25.2,24.95,78.60%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
珠浦南路５０巷１１號三樓,111/12/27,580.0,27.1,21.42,72.94%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
珠浦南路５０巷１２號三樓,111/12/27,580.0,27.1,21.42,72.94%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
後豐港３９之６號三樓,111/12/26,630.0,25.2,24.95,78.60%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
後豐港３９之５號三樓,111/12/21,650.0,26.3,24.72,78.40%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段３９巷２弄５號二樓,111/12/14,655.0,20.4,32.16,73.70%,華廈(10層含以下有電梯),2.0,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城２３０號三樓,111/12/12,485.0,20.6,23.5,73.75%,華廈(10層含以下有電梯),1.0,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
後豐港３９之６號五樓,111/12/12,775.0,26.0,37.1,75.00%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,95.0,無,有,住家用
民權路２２６巷２弄１２號五樓之１,111/12/09,1060.0,26.5,47.17,67.49%,住宅大樓(11層含以上有電梯),6.0,五層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,有,住家用
後豐港３９之２號三樓,111/12/08,600.0,24.1,24.9,78.76%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
後豐港３９之３號三樓,111/12/08,600.0,24.3,24.67,78.56%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
後豐港３９之２號四樓,111/12/08,600.0,24.1,24.9,78.76%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
金門城１０６之１０號二樓,111/11/30,500.0,19.8,25.2,73.11%,華廈(10層含以下有電梯),5.0,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
珠浦南路７４巷３７號四樓,111/11/22,930.0,28.7,32.42,77.81%,華廈(10層含以下有電梯),12.0,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城２３０號,111/11/18,540.0,23.0,23.5,73.75%,公寓(5樓含以下無電梯),1.0,一層/五層,房地(土地+建物),土:1 建:1車:0,,,無,無,住家用
珠浦南路５０巷１１號,111/11/11,620.0,30.7,20.21,77.32%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
民權路７０巷１１弄２２號３樓,111/11/09,800.0,24.7,32.37,72.17%,華廈(10層含以下有電梯),25.0,三層/六層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用
庵前４３之１號二樓,111/11/08,778.0,22.7,34.24,84.72%,華廈(10層含以下有電梯),7.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
珠浦南路５０巷１２號,111/11/04,620.0,30.7,20.21,77.32%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
珠浦南路５０巷１２號二樓,111/11/04,580.0,27.1,21.42,72.94%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
金門城２２８號二樓,111/11/01,480.0,20.4,23.5,73.75%,華廈(10層含以下有電梯),1.0,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
西海路三段３９巷２弄３號二樓,111/11/01,660.0,20.5,32.21,73.74%,華廈(10層含以下有電梯),1.0,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
民權路１２２巷１弄６之１號四樓之１,111/10/26,350.0,32.2,10.85,75.08%,公寓(5樓含以下無電梯),12.0,四層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用
小古崗１９之９號三樓,111/10/26,560.0,20.3,27.62,86.83%,公寓(5樓含以下無電梯),6.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金門城１１３之３號,111/10/20,375.0,15.2,24.7,88.50%,公寓(5樓含以下無電梯),10.0,一層/三層,房地(土地+建物),土:1 建:2車:0,2房2廳2衛,,無,無,住家用
山前１１之１號２樓,111/10/11,700.0,22.4,31.28,88.66%,公寓(5樓含以下無電梯),1.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金門城２２８號三樓,111/10/06,490.0,20.8,23.5,73.75%,華廈(10層含以下有電梯),1.0,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
山前１１之２號２樓,111/10/05,613.0,19.6,31.28,88.66%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
民權路１２２巷１弄６號二樓,111/10/03,630.0,28.3,22.23,78.87%,公寓(5樓含以下無電梯),12.0,二層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用
中興路１６１巷７號２樓,111/10/01,740.0,20.9,35.46,87.54%,公寓(5樓含以下無電梯),24.0,二層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用
西海路三段３９巷２弄５號五樓,111/09/27,680.0,21.1,32.16,73.70%,華廈(10層含以下有電梯),1.0,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城１０３之５號二樓,111/09/23,590.0,18.9,31.22,73.48%,華廈(10層含以下有電梯),1.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城８９之２號三樓,111/09/14,460.0,20.6,22.38,85.22%,公寓(5樓含以下無電梯),6.0,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用
金門城３０之１號二樓,111/09/06,600.0,19.8,30.35,82.74%,公寓(5樓含以下無電梯),12.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
山前１１之２號１樓,111/09/01,648.0,21.4,30.29,91.56%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金門城１０３之３號二樓,111/08/26,590.0,18.9,31.22,73.48%,華廈(10層含以下有電梯),1.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段３９巷２弄２號四樓,111/08/24,660.0,20.5,32.16,73.70%,華廈(10層含以下有電梯),1.0,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
山前１１之１號３樓,111/08/18,750.0,24.0,31.28,88.66%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金山路１２１巷１６弄２２號二樓,111/08/17,870.0,21.6,40.19,80.55%,公寓(5樓含以下無電梯),8.0,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用
珠浦西路２８巷２弄５號三樓,111/07/29,900.0,24.3,37.0,80.75%,華廈(10層含以下有電梯),22.0,三層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,有,住家用
金門城１０６之１０號三樓,111/07/08,520.0,20.6,25.2,73.11%,公寓(5樓含以下無電梯),4.0,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用
環島北路一段３８巷１弄５號３樓,111/07/07,690.0,19.8,34.88,80.16%,公寓(5樓含以下無電梯),26.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳3衛,,無,無,住家用
金門城２２７號,111/07/05,535.0,22.8,23.5,73.75%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城１０３之３號,111/07/02,600.0,21.1,28.47,80.60%,公寓(5樓含以下無電梯),1.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用
